53,"[2.3223, 4.1533, 2.9238, 1.8594, 3.5293, 3.5537, 1.0986, 2.9424, 2.1592, 4.1748]"
54,"[2.082, 2.4053, 2.9121, 1.7627, 1.123, 2.0938, 3.8623, 2.877, 4.6436, 1.5957]"
55,"[4.3389, 5.6748, 2.6846, 5.8184, 4.8711, 1.8281, 6.1621, 1.165, 1.6748, 2.6709]"
56,"[1.5762, 4.5049, 5.0215, 1.043, 4.4961, 2.7852, 5.585, 3.6387, 1.8984, 2.0977]"
57,"[3.3779, 5.3125, 4.7549, 4.1016, 1.9502, 4.0605, 3.1982, 2.6406, 3.4004, 4.2363]"
58,"[6.4395, 4.251, 7.5156, 8.2441, 4.7861, 6.3105, 7.2041, 6.6104, 3.4951, 6.6016]"
59,"[6.498, 2.0957, 4.5664, 2.2988, 3.2266, 2.4746, 5.3164, 3.2285, 4.9277, 3.6182]"
60,"[4.543, 3.5713, 2.3779, 5.1123, 5.1338, 5.584, 4.7148, 2.7861, 4.7021, 2.3896]"
61,"[2.9951, 1.5938, 5.3496, 3.1875, 2.1885, 4.7959, 3.7891, 4.3818, 5.9482, 5.1895]"
62,"[1.0615, 4.2168, 5.4395, 4.2041, 5.2305, 2.5146, 8.584, 2.3232, 5.4316, 4.624]"
63,"[7.2578, 6.9062, 1.2891, 1.9287, 6.2246, 1.3037, 2.9941, 9.3809, 3.0156, 5.5664]"
64,"[7.0518, 7.7119, 3.3408, 1.7754, 4.9678, 4.4658, 1.7783, 3.3252, 1.7783, 1.7793]"
65,"[2.71, 6.5098, 4.2754, 4.5127, 4.4805, 3.8223, 6.0576, 6.0674, 2.9277, 5.3994]"
66,"[1.1592, 4.209, 7.3975, 6.2861, 3.5137, 3.0049, 6.7041, 3.7266, 5.3457, 3.7266]"
67,"[1.9248, 2.1572, 3.3564, 8.2773, 2.626, 1.1943, 1.9209, 5.2695, 4.5596, 2.3965]"
68,"[1.9688, 2.4824, 3.2178, 4.9668, 8.6553, 2.2217, 7.6104, 8.582, 4.2012, 6.4219]"
69,"[2.0127, 2.5039, 7.1875, 3.4756, 4.9873, 8.458, 4.4746, 4.7373, 8.6973, 3.9922]"
70,"[6.9316, 7.9717, 4.6816, 4.8877, 5.3838, 1.5381, 2.0615, 2.0527, 5.9062, 7.1885]"
71,"[1.8564, 1.0479, 8.1367, 6.6074, 7.124, 5.0186, 10.6631, 8.2373, 8.9521, 7.3477]"
72,"[3.8887, 8.2363, 2.2002, 3.8838, 3.5664, 3.3271, 7.415, 5.7549, 6.6104, 2.2061]"
73,"[8.2432, 2.7773, 2.7559, 6.6201, 5.7676, 5.8096, 2.4883, 3.0391, 3.0176, 5.4873]"
74,"[5.1367, 3.4199, 8.2666, 4.0195, 3.4121, 2.5625, 5.7002, 2.5605, 6.8232, 6.2822]"
75,"[2.6289, 2.3408, 11.9834, 4.3945, 9.627, 4.6689, 8.4434, 4.3682, 5.2715, 3.7812]"
76,"[3.9541, 6.0752, 3.0342, 6.6562, 3.0303, 8.498, 2.1318, 9.1309, 3.6465, 4.2393]"
